,Bigram Frequency,Bigram Average Frequency,Bigram Frequency with Position,Bigram Average Frequency with Position,Bigram Independent Probabilities,Mean Edit Distance,Transition Probability,Average Transition Probability,Transition Log Probability
0,4017.0,573.8571428571429,993,141.85714285714286,1.5050569804974616e-16,6.916,1.2545658899452068e-09,0.10255190199592269,29.57016461073946
1,2271.0,454.2,780,156.0,8.350490343003362e-13,5.9904,2.497631332787115e-09,0.05903036604632432,28.57679231283381
2,3819.0,477.375,985,123.125,4.230229552089032e-20,7.5506,2.4040282853649074e-11,0.08671494586751824,35.27575517312137
3,1911.0,382.2,714,142.8,5.786856017781774e-13,6.0281,7.461786116058524e-09,0.06902041119815451,26.997831846515037
4,1754.0,219.25,486,60.75,3.557116347424004e-23,7.8028,3.786280116886495e-14,0.0454800856693351,44.5862121798501
5,2675.0,891.6666666666666,19,6.333333333333333,4.1281271475764905e-09,6.162,3.404446860639263e-08,0.032092925795378514,24.808004344484992
6,1216.0,405.3333333333333,139,46.333333333333336,6.594877769841079e-08,5.5452,2.343158948798622e-06,0.07481011976510535,18.70311374620911
7,3531.0,882.75,217,54.25,5.600544682258904e-09,5.6494,3.332212781380172e-07,0.08326365178815352,21.517016136004905
8,3609.0,601.5,486,81.0,7.441181163373234e-15,6.3199,1.0397502162747155e-10,0.056508805535536034,33.1630439637995
9,3345.0,334.5,668,66.8,3.2138245841347306e-25,9.3305,1.8633039390162442e-13,0.08693412925148368,42.28720221006317
10,3817.0,545.2857142857143,826,118.0,1.5549614929410154e-16,6.7044,1.6935946367991559e-09,0.10602866039647359,29.137264248183953
11,1279.0,182.71428571428572,374,53.42857142857143,4.439221963505962e-21,7.1243,2.528888258202806e-12,0.0514560715549434,38.52463384735626
12,2773.0,396.14285714285717,441,63.0,6.367840032860373e-18,6.8006,7.883691666998455e-11,0.07540747579973091,33.56233769041243
13,3679.0,459.875,515,64.375,5.451330917517264e-20,7.7975,2.2481952816274015e-12,0.06842005251721509,38.69436978298308
14,1248.0,416.0,161,53.666666666666664,2.9070866604428824e-08,5.5014,5.23680211740007e-07,0.05543872487958139,20.86481057339015
15,2385.0,477.0,728,145.6,1.112293781390085e-12,5.8214,5.078949859150273e-08,0.09077530224754742,24.230894527773113
16,1052.0,350.6666666666667,157,52.333333333333336,3.3225421430360434e-08,5.7803,7.09919424065226e-08,0.03717421546412125,23.74776947123969
17,4113.0,587.5714285714286,1008,144.0,3.9739984091813957e-17,6.9397,4.6036579092630957e-10,0.09174174678227667,31.016500315869607
18,2787.0,398.14285714285717,557,79.57142857142857,1.4359468330642246e-17,7.3451,2.2822384998093612e-10,0.0848607334048794,32.028831384016165
